sourceX,sourceY,sourceZ,sourceAz,sourceEl,tdoaX,tdoaY,tdoaZ,tdoa_error_cm,tdoaAz,tdoaEl
-5,-4.5,-3.5,-139.398705354996,-26.8472133260044,-5.33503904205087,-4.79995939498854,-3.74486616222466,51.2041244181451,-139.323193052045,-26.9542130311719
-5,-4.5,-3,-139.398705354996,-23.4541373159961,-3.62231929215479,-3.25280475854047,-2.16610899735799,203.687856961957,-139.969250127808,-23.1863748336366
-5,-4.5,-2.5,-139.398705354996,-19.8774955381665,-5.93366081385373,-5.34082419703933,-2.96754868122687,134.063776426365,-139.182847135503,-19.9604769245489
-5,-4.5,-2,-139.398705354996,-16.1320163620824,-5.40138628614516,-4.86391721836606,-2.15477047843735,56.3471910146745,-139.282766726848,-16.1186589839055
-5,-4.5,-1.5,-139.398705354996,-12.2395582977766,-4.65005917817567,-4.18258418472935,-1.38697514869302,48.5783898020491,-139.516647852091,-12.1496728045139
-5,-4.5,-1,-139.398705354996,-8.22907915029858,-4.98254244849364,-4.48926489799863,-0.995227046994423,2.10425663827001,-139.372024401691,-8.21405346127212
-5,-4.5,-0.5,-139.398705354996,-4.13586809918943,-4.80958504686703,-4.33064938871154,-0.474930962330073,25.6058470998522,-139.43879733887,-4.07898878346229
-5,-4.5,0,-139.398705354996,0,-5.03068564285783,-4.5312461152429,-3.0107105580291e-08,4.37941593751035,-139.367795359776,-2.47907101358067e-07
-5,-4.5,0.5,-139.398705354996,4.13586809918943,-4.80957737953818,-4.3306419746684,0.474930518579629,25.6069119626816,-139.438802903207,4.07899148351989
-5,-4.5,1,-139.398705354996,8.22907915029858,-4.98248059372292,-4.48920915605922,0.995214831849697,2.11250974786486,-139.372041264827,8.21405184044944
-5,-4.5,1.5,-139.398705354996,12.2395582977766,-4.65007486522817,-4.18259821749607,1.38697983916379,48.5762337195046,-139.516643505052,12.1496741677188
-5,-4.5,2,-139.398705354996,16.1320163620824,-5.40154825072754,-4.86406360193613,2.15483529036208,56.3699628400241,-139.282726032865,16.1186713276963
-5,-4.5,2.5,-139.398705354996,19.8774955381665,-5.9336511943496,-5.34081525402418,2.96754298866756,134.062347076365,-139.182850503541,19.9604711911231
-5,-4.5,3,-139.398705354996,23.4541373159961,-3.62236131045251,-3.25284258618915,2.16613427594647,203.681663865769,-139.969228165933,23.1863851420784
-5,-4.5,3.5,-139.398705354996,26.8472133260044,-5.33510650506561,-4.80002122438507,3.74491384325954,51.2144408774486,-139.323170337967,26.9542202635591
-5,-4.5,4,-139.398705354996,30.0485752679681,-3.13694198078348,-2.81260108197998,2.50615205086084,292.401812351589,-140.292913900633,29.6509199101664
